Too Much Chocolate Cake,"Start with a box of chocolate cake mix and add a few ingredients like sour cream and chocolate chips to make a moist, intensely-flavored chocolate cake that will win you First Prize from your friends and family.",4,12,true
Carrot Pineapple Cake I,The carrots and pineapple work together to keep this cake moist and wholesome.,4,30 mins,false
Sultana Cake,This butter cake is loaded with sultana raisins.,4,15 mins,false
